dia,x_AU,y_AU
0.0,1.3826518283060225,-0.0025217679086700904
2.759,1.3807916091666856,0.044062246186224084
5.518,1.380593373659024,0.08866128330814196
8.277,1.3793959711099866,0.12860025940570083
11.036,1.3717587951828434,0.1655069524573237
13.795,1.3664657909791023,0.20944385869428894
16.554,1.3636349887662969,0.25463354460807847
19.313,1.3543964812951905,0.292157309208865
22.072,1.3431585129733141,0.3356838453854816
24.831,1.3352786996774892,0.377285153015855
27.59,1.322233790380055,0.41450374599187667
30.349,1.3100789698837967,0.45650873120557256
33.108,1.2982398854279082,0.49003081785682856
35.867,1.2795847416961992,0.5339330654107767
38.627,1.2645417791023763,0.574496255058578
41.386,1.250388530550381,0.6110452479585176
44.145,1.2319673290353796,0.6548344462811194
46.904,1.2160779549560248,0.6861977922569147
49.663,1.194085585805761,0.7250971112584622
52.422,1.1725449184171632,0.7625603209935393
55.181,1.1568052974794714,0.8008782193527046
57.94,1.1309851755640212,0.8301695193741645
60.699,1.1082152029582255,0.86973631508062
63.458,1.0809779147765444,0.9010977181399782
66.217,1.0576135878683401,0.9320562993027639
68.976,1.0329512798686267,0.9671376169413824
71.735,1.0036317148656642,0.998035843749844
74.494,0.9790921380718383,1.0270709936311944
77.253,0.9487753590515666,1.058234275986162
80.012,0.9202845296926597,1.0863179754418475
82.771,0.8898381091104374,1.1154623966415413
85.53,0.8642293085961235,1.1438423529974673
88.289,0.8293182321392432,1.172092967539797
91.048,0.7954154204301983,1.191953398669216
93.807,0.7667548218580661,1.2232945818824477
96.566,0.7296685367527989,1.2388023408345759
99.325,0.698978530025779,1.2651475723247267
102.084,0.660570730777057,1.2884281108043176
104.843,0.6272703404053798,1.308659548587763
107.602,0.5952931792162819,1.3267350076919282
110.361,0.5609139776261775,1.3464756953499533
113.12,0.5239109311861095,1.3638390248711671
115.88,0.48709027621212814,1.38059470973465
118.639,0.4501235534568086,1.399431046330142
121.398,0.41085218430662074,1.4134098067396759
124.157,0.3751606162369908,1.4252758188027967
126.916,0.3382058760687384,1.4414258650702696
129.675,0.30353199278589377,1.452203512505968
132.434,0.2641870848972756,1.4641729616239525
135.193,0.2218748972646148,1.473760528557386
137.952,0.18779657212922862,1.479793415753862
140.711,0.1479989566647678,1.488278408877978
143.47,0.10893598493552663,1.497839798263768
146.229,0.07296027084797432,1.5035140056074836
148.988,0.03519845466366712,1.50720434178833
151.747,-0.003623270984610195,1.5114423689447518
154.506,-0.045783000961535245,1.5167377959722887
157.265,-0.08331316005415272,1.5149923604782738
160.024,-0.1205691731832315,1.5182867100664752
162.783,-0.15774011395147586,1.516835373603188
165.542,-0.19900773228999327,1.515888674221099
168.301,-0.23665409244106417,1.5166502302759726
171.06,-0.2765809880634884,1.513284344982324
173.819,-0.3146757819233441,1.5095018822390367
176.578,-0.34838064557103676,1.5057964716908563
179.337,-0.3848010159957599,1.4976167059936172
182.096,-0.42492940246216065,1.4924159829493744
184.855,-0.45979333441651427,1.483007188462451
187.614,-0.4978147520347177,1.4759604304794367
190.373,-0.5362683984205616,1.4658557583343061
193.133,-0.5703783504681007,1.456244752636146
195.892,-0.6038116685039686,1.446318101703314
198.651,-0.642390812219839,1.4317225515286192
201.41,-0.6742477427272142,1.4249413297697293
204.169,-0.7172829048208452,1.4053209149488564
206.928,-0.7446570011303371,1.3906725561674742
209.687,-0.7799580299392569,1.3803897530640195
212.446,-0.814118727620442,1.3638473485588858
215.205,-0.8462668182093822,1.346934169983917
217.964,-0.8828803294039528,1.329609694526743
220.723,-0.9113092160183173,1.3102547170372834
223.482,-0.9416151742445766,1.2896842165364208
226.241,-0.9703134129024962,1.2721175251302228
229.0,-1.0047116522915873,1.250401011881433
231.759,-1.0351503571078926,1.2328119490679257
234.518,-1.0638341264555455,1.2090058147819776
237.277,-1.0897230676424126,1.1854340462548842
240.036,-1.119033070217105,1.1635894627010197
242.795,-1.1482880457656113,1.1415827025827159
245.554,-1.1731293902739304,1.115546865659399
248.313,-1.200267190206437,1.0903557986917602
251.072,-1.2241964442422502,1.0672376822752387
253.831,-1.2525665171188491,1.0414302542118297
256.59,-1.276192385251251,1.0135722944693542
259.349,-1.3000319484818477,0.9867618063139737
262.108,-1.3252118605749337,0.9607736111849842
264.867,-1.3440468761578344,0.9295230635969133
267.627,-1.3657795901059537,0.9012343615413838
270.386,-1.387253812130098,0.8737791083629256
273.145,-1.407987104999994,0.8455088431260362
275.904,-1.4298862545373612,0.8168467704293223
278.663,-1.446710548761484,0.7890508651575905
281.422,-1.464637398230049,0.7572932051253104
284.181,-1.482901331760408,0.7243548838502437
286.94,-1.4982197087853104,0.693369397853087
289.699,-1.5129387240302425,0.6597875305210784
292.458,-1.5250675644777183,0.6298099464575647
295.217,-1.5428217219977929,0.5970100348057555
297.976,-1.5562192694687509,0.5656759694111396
300.735,-1.5696743355085396,0.5305388873068441
303.494,-1.5853769762447627,0.5001313599534094
306.253,-1.592825008210004,0.46881085329508454
309.012,-1.6030985645133424,0.4319508680745455
